ISBN,Title,Author,Year,Publisher
805056491,Organizing from the Inside Out,Julie Morgenstern,1998,"Henry Holt &amp, Company"
679401377,The Hellfire Club,Peter Straub,1996,Random House Inc
1562827049,The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate,Jack,1993,Hyperion Books
385306032,Vanished,Danielle Steel,1993,Delacorte Press
816152446,The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,1991,Thorndike Pr
821772953,The Morning After,Lisa Jackson,2004,Zebra Books
345379454,Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books
553576925,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
743206053,Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,"Simon &amp, Schuster"
688169678,We Are Our Mothers' Daughters,Cokie Roberts,2000,Perennial
439319552,Horus's Horrible Day (First Graders from Mars),Shana Corey,2001,Scholastic
590870157,My Garden (Beginning Literacy),Jesse S. Ostrow,1994,Scholastic
307001164,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company
440441501,In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,1987,Yearling
590687301,Ralph S. Mouse,Beverly Cleary,2000,Scholastic
439061644,The First Journey (Animorphs. Alternamorphs, 1),K. A. Applegate,1999,Apple Signature (Scholastic)
439569842,How Do Dinosaurs Learn to Read,Jane Yolen,2003,Scholastic, Inc.
307118703,My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,1997,Golden Books
590418858,You Be the Jury #02,Marvin Miller,1989,Scholastic
030720152X,Comic Characters,Craig Boldman,1983,Golden Books
816728739,The Time Machine (Troll Illustrated Classics),H. G. Wells,1992,Troll Communications Llc
865050880,I Like School (in My World Series),Bobbie Kalman,1985,Crabtree Publishing Company
812519655,Sacred Ground,Mercedes Lackey,1995,Tor Books
812524853,Burning Water (Burning Water),Mercedes Lackey,1992,Tor Books
449211770,The Tightrope Walker,Dorothy Gilman,1997,Fawcett Books
193072229X,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004,Inner Ocean Publishing
812521129,Children of the Night,Mercedes Lackey,1990,Tor Books
345251733,Rainbow the Stormy Life of Judy Garland,Christopher Finch,0,Ballantine Books
1400077826,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage
312995431,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2004,St. Martin's Paperbacks
312312628,Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004,St. Martin's Minotaur
446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books
590021117,Little House On the Prairie,Laura Ingall Wilder,0,Scholastic Inc
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
553578693,The Next Accident,LISA GARDNER,2002,Bantam
380709260,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy
807565288,The Pet Shop Mystery (Boxcar Children Special (Paper), No 7),Gertrude Chandler Warner,1996,"Albert Whitman &amp, Company"
312986769,In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2003,St. Martin's Minotaur
345413377,The Amber Spyglass (His Dark Materials, Book 3),PHILIP PULLMAN,2001,Del Rey
345413369,The Subtle Knife (His Dark Materials, Book 2),PHILIP PULLMAN,1998,Del Rey
679893105,The Golden Compass (His Dark Materials, Book 1),PHILIP PULLMAN,1998,Knopf Books for Young Readers
61096091,Eyeshot,Lynn S. Hightower,1997,Harper Mass Market Paperbacks (Mm)
345369068,If Ever I Return, Pretty Peggy-O,Sharyn McCrumb,1991,Fawcett Books
451184718,The Rosewood Casket,Sharyn McCrumb,1997,Signet Book
449209121,The Amazing Mrs. Pollifax,Dorothy Gilman,1992,Fawcett Books
60938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
080411952X,The Unsung Hero,Suzanne Brockmann,2000,Ivy Books
60575808,Two Princesses of Bamarre, The,Gail Carson Levine,2004,Eos
60558865,Ella Enchanted (rack),Gail Carson Levine,2004,Avon
767912918,Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004,Broadway
553298860,Bloodlines (Dog Lover's Mysteries),Susan Conant,1994,Bantam Books
385335679,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta
440122090,Echoes,Maeve Binchy,1989,Dell
671525832,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket
553279572,The Toynbee Convector,Ray Bradbury,1989,Spectra Books
61009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
60930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
516076272,A polar bear called Pingo,Ilona Koidahl,1974,Childrens Press
679450432,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf
821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books
821770209,About Face,Fern Michaels,2003,Zebra Books
670855758,Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995,Viking Books
553562819,Globalhead,Bruce Sterling,1994,Spectra Books
446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books
425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group
61042943,Final Appeal,Lisa Scottoline,1994,HarperTorch
399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
965404560,Atonement,Ian McEwan,2002,Nan A. Talese
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins
60930705,Someone to Watch Over Me : Stories,Richard Bausch,2000,Perennial
312206763,Stately Pursuits,Katie Fforde,1999,Griffin Trade Paperback
316116025,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996,"Little Brown &amp, Co"
156013967,My Father, Dancing (Harvest Book),Bliss Broyard,2000,Harvest Books
385314019,Women on the Case,Sara Paretsky,1996,Bantam Dell Pub Group
743444167,New Cardiff,Charles Webb,2002,Washington Square Press
618231617,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books
1567920047,"A Tally of Types: With Additions by Several Hands , And With a New Introduction by Mike Parker",Stanley Morison,1999,David R. Godine Publisher
811203220,Stand Still Like the Hummingbird,Henry Miller,1962,New Directions Publishing Corporation
1573229148,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,Riverhead Books
787955671,The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,2001,Jossey-Bass
425174484,Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic,Martha Beck,2000,Berkley Publishing Group
385496907,No Future Without Forgiveness,Desmond Mpilo Tutu,2000,Image
446523992,A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.,Kris Shepard,2001,Warner Books
140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper)
684717255,I And Thou,Martin Buber,1971,Free Press
486272745,The Prince (Dover Thrift Editions),NiccolÃ² Machiavelli,1992,Dover Publications
8807120194,Sarajevo, maybe (Anni Novanta/Feltrinelli),Gianfranco Bettin,1994,Feltrinelli
62507249,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco
684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner
1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah
60083298,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade
446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
807070718,Rena's Promise: A Story of Sisters in Auschwitz,Rena Kornreich Gelissen,1996,Beacon Press
743213831,America the Beautiful: A Novel,Moon Unit Zappa,2001,Touchstone
345305477,Easy Travel to Other Planets,Ted Mooney,1982,Ballantine Books
61080519,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks
142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
316735027,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,Little, Brown
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books
62517856,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco
679767789,Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996,Vintage Books USA
449911683,My Name Is Asher Lev,Chaim Potok,1996,Ballantine Books
425169626,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group
449207757,Davita's Harp,Chaim Potok,1990,Fawcett Books
449245691,The Book of Lights,Chaim Potok,1997,Fawcett Books
140029400,The Mimic Men,V. S. Naipaul,1992,Penguin USA
140021566,The Mystic Masseur,V.S. Naipaul,1993,Penguin USA
2253004022,Regain,Jean Giono,1987,LGF
2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF
2266084372,Pourquoi j'ai mangÃ?Â© mon pÃ?Â¨re,Lewis,2000,Pocket
2070362388,Ravage,Rene Barjavel,0,Gallimard French
2266029460,Voyage d'une parisienne Ã?Â  Lhassa,Alexandra David-NÃ?Â©el,1989,Pocket
2253007102,Les Fleurs Du Mal,C. Baudelaire,1972,Livre De Poche French
2070417743,Chroniques martiennes,Ray Bradbury,2002,Gallimard
2266033689,Le Diable Au Corps,Raymond Radiguet,0,Presses Pocket French
2070384349,La Faute de l'abbÃ?Â© Mouret,Emile Zola,1991,Gallimard
207053880X,L'Homme Qui Plantait Des Arbres,Jean Giono,2002,Distribooks Inc
2070334368,La Guerre Des Boutons,Pergaud,0,Livre de Poche
2290314951,Paroles de Poilus : Lettres et carnets du front 1914-1918,Collectif,2001,J'ai lu
229000510X,Une porte sur l'Ã?Â©tÃ?Â©,Robert A. Heinlein,1999,J'ai lu
3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,Piper
3499177757,Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats : Amnesty for Women (Rororo Sachbuch),Cheryl Benard,1984,Rowohlt
3889774016,Frauen der Welt: Vom Fortschritt der Ungleichheit,Christa Wichterich,1995,Lamuv
3502670005,I Ging. Das Buch der Wandlung. Das groÃ?Â?e Weisheits- und Orakelbuch der alten Chinesen.,John. Blofeld,1999,O. W. Barth Bei Scherz
905762487,African Women: Their Struggle for Economic Independence,Christine Obbo,1980,Palgrave-Macmillan
3499222604,Die globalisierte Frau: Berichte aus der Zukunft der Ungleichheit (Frauen aktuell),Christa Wichterich,1998,Rowohlt
3746670055,Women are the Niggers of the World: Ã¼ber Frauen, Herrenmenschen und Nietzsches Peitsche (AtV Dokument und Essay),Peter B Heim,1994,Aufbau Taschenbuch Verlag
140620427,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
3596144434,Der gemietete Mann.,Hera Lind,1999,Fischer (Tb.), Frankfurt
3442724686,Der Gott der kleinen Dinge.,Arundhati Roy,1999,btb
385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
446525502,The Rescue,Nicholas Sparks,2000,Warner Books
385500769,A Map of the World,Jane Hamilton,1999,Doubleday Books
399147012,Edge of Danger,Jack Higgins,2001,Putnam Publishing Group
670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
688180639,Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999,HarperCollins
316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,Little, Brown
451197275,Saving Private Ryan: A Novel,Max Allan Collins,1998,Signet Book
425184129,Big Trouble,Dave Barry,2002,Berkley Publishing Group
151001006,Snow Falling on Cedars,David Guterson,1994,Harcourt
385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
679442790,The Reader,Bernhard Schlink,1997,Random House
525943862,Cheaters,Eric Jerome Dickey,1999,Dutton Books
609605925,Angel Falls,KRISTIN HANNAH,2000,Crown
60191929,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins
743206045,Daddy's Little Girl,Mary Higgins Clark,2002,"Simon &amp, Schuster"
684864843,The Vineyard : A Novel,Barbara Delinsky,2000,"Simon &amp, Schuster"
684867818,The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999,"Simon &amp, Schuster"
743406176,If Only It Were True,Marc Levy,2000,Atria
380978539,Dear Stranger, Dearest Friend,Laney Katz Becker,2000,"William Morrow &amp, Company"
679603352,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library
679410430,Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993,Everyman's Library
446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books
671042556,Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000,Atria
679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc
140107649,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books
609606727,Julie and Romeo,Jeanne Ray,2000,Harmony
446527793,The Guardian,Nicholas Sparks,2003,Warner Books
446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books
1570717257,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark
60192631,One Heart,Jane McCafferty,1999,HarperCollins Publishers
385420161,Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies,Laura Esquivel,1992,Doubleday Books
345339711,The Two Towers (The Lord of the Rings, Part 2),J.R.R. TOLKIEN,1986,Del Rey
052594463X,All of Me: A Voluptuous Tale,Venise T. Berry,2000,Dutton Books
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company
399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group
670031046,In This Mountain,Jan Karon,2002,Viking Books
394574745,All the Pretty Horses (Border Trilogy, Vol 1),Cormac McCarthy,1992,Alfred A. Knopf
316969443,Suzanne's Diary for Nicholas,James Patterson,2001,Little, Brown
743230051,He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001,Scribner
316693200,2nd Chance,James Patterson,2002,Little, Brown
684868911,The Carousel : A Novel,Richard Paul Evans,2000,"Simon &amp, Schuster"
842336214,The Promise Remains,Travis Thrasher,2000,Tyndale House Publishers
399148582,You Cannot Be Serious,John McEnroe,2002,Putnam Publishing Group
684864320,LAKE NEWS : A Novel,Barbara Delinsky,1999,"Simon &amp, Schuster"
525944834,Liar's Game,Eric Jerome Dickey,2000,Dutton Books
345428900,Out of the Blue,Sally Mandel,2000,Ballantine Books
451176812,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book
671525794,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984,Pocket Books
718144538,Shattered Uk,Dick Francis,0,Michael Joseph Ltd
446602086,The Proud and the Free,Janet Dailey,1995,Warner Vision
394551427,Shoah,Claude Lanzmann,1985,Random House Inc
64407667,The Bad Beginning (A Series of Unfortunate Events, Book 1),Lemony Snicket,1999,HarperCollins
7100221,TERROR FIRMA,Matthew Thomas,2001,Trafalgar Square
2253148539,Le Loup-garou,Boris Vian,1999,LGF
2253043974,Chronique d'une mort annoncÃ?Â©e,Gabriel Garcia Marquez,1987,LGF
2020315491,Le neveu d'AmÃ?Â©rique,Luis SepÃ?Âºlveda,1998,Seuil
747549923,Last Exit to Brooklyn,Hubert Selby,2000,Bloomsbury Pub Ltd
743462335,More George W. Bushisms: More Verbal Contortions from America's 43rd President,Jacob Weisberg,2002,"Simon &amp, Schuster (Trade Division)"
140253580,Therapy,David Lodge,1996,Penguin Putnam~trade
947782141,Scottish Ghosts,Judy Hamilton,1999,Lomond Books
057120354X,Awful End (Eddie Dickens Trilogy S.),Philip Ardagh,2000,Faber Children's Books
349101779,The Wasp Factory,Iain Banks,0,Abacus
743222229,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside
185479549X,The World's Stupidest Laws,David Crombie,2000,Michael O'Mara Books
140292918,"Of Mice and Men (Steinbeck \Essentials\"")""",John Steinbeck,2001,Penguin Books Ltd
1854795554,The World's Stupidest Signs,Michael O'Mara,2000,Michael O'Mara Books
1858813093,Nessie: The Loch Ness Monster,Richard Brassey,2003,Trafalgar Square Books
2871290911,XIII, tome 13, L'enquÃ?Âªte : the XIII mystery,Jean Van Hamme,1999,Dargaud
198604025,How Not to Say What You Mean: A Dictionary of Euphemisms (Oxford Paperback Reference S.),R. W. Holder,2003,Oxford University Press
1842151053,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,Southwater Publishing
2253063339,Les Fourmis,Bernard Werber,2002,LGF
1860198597,How to Draw Celtic Knotwork: A Practical Handbook,Andy Sloss,0,Brockhampton Press
767908473,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,2001,Broadway
1842040154,Celtic Myths and Legends,Charles L. Squire,2000,Lomond Books
140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd
571209521,Terrible Times (Eddie Dickens Trilogy S.),Philip Ardagh,2002,Faber Children's Books
2264009306,"CantilÃ¨nes en gelÃ©e , Barnum's digest , Vingt poÃ¨mes inÃ©dits (10/18 [i.e. Dix/dix-huit] , 517)",Boris Vian,1978,Union gÃ©nÃ©rale d'Ã©ditions
1841952931,Glasgow Zen,Alan Spence,2002,Canongate Books Ltd
890877564,Totally Muffins Cookbook (Totally Cookbooks),Helene Siegel,1995,Celestial Arts
1405200677,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002,Egmont Childrens Books
416196772,Eeyore's Little Book of Gloom,Alan Alexander Milne,1999,Routledge
747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC
375501347,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc
60927240,Rule of the Bone : Novel, A,Russell Banks,1996,Perennial
316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
156341029X,Stone Butch Blues,Leslie Feinberg,1993,Firebrand Books
60934719,stardust,Neil Gaiman,2001,Perennial
1886383421,Fires of Aggar,Chris Anne Wolfe,2001,Windstorm Creative
1888451084,Kamikaze Lust,Lauren Sanders,2000,Akashic Books
451450256,Gossamer Axe,Gael Baudino,1993,New Amer Library
1555835953,Witchfire,Lauren Maddison,2001,Alyson Books
395877563,Seven Moves,Carol Anshaw,1997,Mariner Books
962893862,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ)
1555834531,Hood,Emma Donoghue,1998,Alyson Publications
393318435,Leaving Pipe Shop: Memories of Kin,Deborah McDowell,1998,"W. W. Norton &amp, Company"
889740828,Love Ruins Everything: A Novel,Karen X. Tulchinsky,1998,Press Gang Publishers
1563410443,"Skin: Talking About Sex, Class &amp, Literature",Dorothy Allison,1994,Firebrand Books
1563899388,Death: At Death's Door (Vertigo, Number 1),Jill Thompson,2003,DC Comics
1563411148,The Second Coming of Curly Red,Jody Seay,1999,Firebrand Books
553579681,Night Mares,Manda Scott,1999,Crimeline
553579673,Hen's Teeth,Manda Scott,1999,Bantam Books
451181379,The Door to December,Dean R. Koontz,1994,Signet Book
786889160,No Shirt, No Shoes, No Problem!,Jeff Foxworthy,1997,Warner Books (Mm)
345370740,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books
553574175,Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback)),A.C. Crispin,1998,Spectra Books
553574167,The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2),A. C. Crispin,1998,Bantam Books
553574159,The Paradise Snare (Star Wars: The Han Solo Trilogy, Volume 1),A. C. Crispin,1998,Spectra Books
312287240,A Year of Full Moons,Madelyn Arnold,2002,Stonewall Inn Editions
679801146,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books
446300101,The Beans of Egypt, Maine,Carolyn Chute,1986,Warner Books
821750410,Warrior Moon,Sara Orwig,1995,Zebra Books
425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
451456548,Cold Iron,Melisa Michaels,1997,Roc
60006048,Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,2001,Avon
312906552,The Space Merchants,Frederik Pohl,1987,St Martins Pr
440117291,DREAMSNAKE,VONDA MCINTYRE,1986,Dell
425049981,Titan,John Varley,1980,Berkley Publishing Group
374386676,The Year They Burned the Books,Nancy Garden,1999,Farrar Straus Giroux
786886463,A Density of Souls,Christopher Rice,2001,Miramax
345395379,Slow River,Nicola Griffith,1996,Ballantine Books
380788497,Changer,Jane Lindskold,1998,Eos
307215342,Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,1977,Random House Childrens Books
374343381,Lark in the Morning,Nancy Garden,1991,"Farrar Straus &amp, Giroux"
345403339,Saving Grace,LEE SMITH,1996,Ballantine Books
440226694,Lena (50 State Quarters),JACQUELINE WOODSON,2000,Laurel Leaf
440219604,I Hadn't Meant to Tell You This,Jacqueline Woodson,1995,Laurel-Leaf Books
767903285,Raise the Roof: The Inspiring Inside Story of the Tennessee Lady Vols' Undefeated 1997-98 Season,Pat Head Summitt,1998,Broadway Books
345429176,Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe,Richard Belzer,1999,Ballantine Books
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
345418778,Mostly Harmless,Douglas Adams,2000,Ballantine Books
517201658,The Thorn Birds (Modern Classics),Colleen McCullough,1998,Wings
743211383,Dreamcatcher,Stephen King,2001,Scribner
039914370X,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998,Putnam Pub Group
1884777805,Elements of Programming With Perl,Andrew L. Johnson,1999,Manning Publications
312977905,To Catch a Cat,Marian Babson,2002,St. Martin's Minotaur
812521331,People of the Wolf (The First North Americans series, Book 1),W. Michael Gear,1992,Tor Books
451205421,The Door to December,Dean R. Koontz,2002,Signet Book
894342789,College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Paul Phifer,1999,Ferguson Publishing Company
440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island
449207595,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,1988,Fawcett Books
8806142267,Viaggi del tempo immobile (I coralli),Roberto Vecchioni,1996,Einaudi
670844594,Rumpole on Trial,John Mortimer,1992,Penguin USA
039457513X,Billy Bathgate,E. L. Doctorow,1989,Random House
394559487,Citizens: A Chronicle of the French Revolution,Simon Schama,1989,Random House Inc
804001944,The Man Who Killed the Deer,Frank Waters,1970,Ohio University Press
590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children
689832877,Sunwing (Aladdin Fantasy),Kenneth Oppel,2001,Aladdin
689829698,Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction),Carol Ryrie Brink,1999,Aladdin
439042917,The Hork-Bajir Chronicles (Animorphs Series),K. A. Applegate,1998,Scholastic
64409457,The Silver Chair (full color) (Narnia),C. S. Lewis,2000,HarperTrophy
64405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy
043922165X,Circles in the Stream (Avalon: Web of Magic, 1),Shelly R. Roberts,2001,Scholastic
152162445,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
1562477528,Going for Great (Ag Fiction (American Girl)),Carolee Brockmann,1999,Pleasant Company Publications
439221676,All That Glitters (Avalon, 2),Rachel Roberts,2001,Scholastic
439221684,Cry of the Wolf (Avalon, 3),Rachel Roberts,2001,Scholastic
439221714,The Secret of the Unicorn (Avalon Web of Magic, 4),Rachel Roberts,2000,Scholastic Paperbacks
439221706,Avalon: Web Of Magic #5: Spellsinger,Rachel Roberts,2002,Scholastic Paperbacks
439221730,Trial by Fire,Rachel Roberts,2002,Scholastic Paperbacks
440415993,Ties That Bind, Ties That Break (Laurel-Leaf Books),Lensey Namioka,2000,Laurel-Leaf Books
895872102,The Hauntings of Williamsburg, Yorktown, and Jamestown,Jackie Eileen Behrend,1998,John F. Blair Publisher
068983585X,The Janitor's Boy,Andrew Clements,2001,Aladdin
345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
185424597X,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,2003,Monarch Books
2080105434,The Little Book of Chocolate (Little Book Of...(Flammarion)),Alain Stella,2001,Flammarion
349913358X,Das Schlampenbuch. ErzÃ?Â¤hlungen. ( neue frau).,Milena Moser,1993,Rowohlt Tb.
3257201761,Die zwei Gesichter des Januars.,Patricia Highsmith,1974,Diogenes Verlag
3404121686,Nacht Ã?Â¼ber den Wassern.,Ken Follett,1994,LÃ?Â¼bbe
3404118960,Die SÃ?Â¤ulen der Erde. Roman.,Ken Follett,1992,LÃ?Â¼bbe
345356578,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books
345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey
753804700,Reader,Bernhard Schlink,0,Phoenix Books
451155750,The Dead Zone,Stephen King,2004,Signet Book
786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press
415928087,A New Germany in a New Europe,Todd Herzog,2000,Routledge
521427150,Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology),John Borneman,1992,Cambridge University Press
812923278,The Great Depression : America 1929-1941,ROBERT S. MCELVAINE,1993,Three Rivers Press
884111342,Lady of the Shroud,Bram Stoker,1989,Amereon Limited
345428544,Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2),Michael A. Stackpole,2000,Del Rey Books
671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket
080901582X,The Return of Simple,Langston Hughes,1995,"Hill &amp, Wang"
449006557,"Half Moon Street (Charlotte &amp, Thomas Pitt Novels (Paperback))",Anne Perry,2001,Ballantine Books
373250339,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,2003,Red Dress Ink
380820447,For Better, for Worse: A Novel,Carole Matthews,2002,Avon Trade
385497679,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,2000,Anchor Pub
451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
941423042,American Poetry Since 1970: Up Late,Andrei Codrescu,1988,Four Walls Eight Windows
373871562,Twin Blessings (Love Inspired (Numbered)),Carolyne Aarsen,2001,Steeple Hill
553101439,West of Dodge: Frontier Stories,Louis L'Amour,1996,Bantam
898151910,How to Make $1,000 a Minute: Negotiating Salaries and Raises,Jack Chapman,1987,Ten Speed Pr
835949362,Non-manipulative selling,Anthony J Alessandra,1981,Reston Pub. Co
880701102,Come Before Winter and Share My Hope,Charles R. Swindoll,1985,Word Publishing
039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons
